Time (s),$ T_{tr} $ (nexaFoam)_Temp,"$ T_{vib, N_2} $ (nexaFoam)_Temp"
7.44e-06,14254.8,14078.3
7.45e-06,14251.9,14075.5
7.46e-06,14249.0,14072.7
7.47e-06,14246.1,14069.8
7.48e-06,14243.2,14067.0
7.49e-06,14240.3,14064.2
7.5e-06,14237.4,14061.4
7.51e-06,14234.5,14058.6
7.52e-06,14231.6,14055.8
7.53e-06,14228.8,14053.0
7.54e-06,14225.9,14050.2
7.55e-06,14223.0,14047.4
7.56e-06,14220.2,14044.7
7.57e-06,14217.3,14041.9
7.58e-06,14214.5,14039.1
7.59e-06,14211.6,14036.4
7.6e-06,14208.8,14033.6
7.61e-06,14206.0,14030.8
7.62e-06,14203.1,14028.1
7.63e-06,14200.3,14025.4
7.64e-06,14197.5,14022.6
7.65e-06,14194.7,14019.9
7.66e-06,14191.9,14017.2
7.67e-06,14189.1,14014.4
7.68e-06,14186.3,14011.7
7.69e-06,14183.5,14009.0
7.7e-06,14180.7,14006.3
7.71e-06,14177.9,14003.6
7.72e-06,14175.1,14000.9
7.73e-06,14172.4,13998.2
7.74e-06,14169.6,13995.5
7.75e-06,14166.8,13992.8
7.76e-06,14164.1,13990.1
7.77e-06,14161.3,13987.4
7.78e-06,14158.6,13984.8
7.79e-06,14155.8,13982.1
7.8e-06,14153.1,13979.4
7.81e-06,14150.3,13976.8
7.82e-06,14147.6,13974.1
7.83e-06,14144.9,13971.5
7.84e-06,14142.1,13968.8
7.85e-06,14139.4,13966.2
7.86e-06,14136.7,13963.5
7.87e-06,14134.0,13960.9
7.88e-06,14131.3,13958.3
7.89e-06,14128.6,13955.7
7.9e-06,14125.9,13953.0
7.91e-06,14123.2,13950.4
7.92e-06,14120.5,13947.8
7.93e-06,14117.8,13945.2
7.94e-06,14115.1,13942.6
7.95e-06,14112.5,13940.0
7.96e-06,14109.8,13937.4
7.97e-06,14107.1,13934.8
7.98e-06,14104.5,13932.2
7.99e-06,14101.8,13929.7
8e-06,14099.2,13927.1
8.01e-06,14096.5,13924.5
8.02e-06,14093.9,13921.9
